date,open,high,low,close,volume
1513506600000,0.744,0.744,0.7415,0.74152,85481.9733005
1513507500000,0.7415,0.745,0.74,0.742,103310.70254882
1513508400000,0.742,0.7422,0.74,0.74,104087.30614642
1513509300000,0.74,0.74009,0.73351,0.73477,104226.50401543
1513510200000,0.7347,0.7347,0.7272,0.73416,505496.7458799
1513511100000,0.7347,0.74186,0.72002,0.73263,297339.86026268
1513512000000,0.73,0.73269,0.713,0.7207,305907.43629388
1513512900000,0.7207,0.72494,0.7,0.70947,442989.83676657
1513513800000,0.7089,0.7095,0.7,0.70873,475875.51332132
1513514700000,0.70874,0.73396,0.7069,0.73389,154932.50449605
1513515600000,0.73389,0.74,0.718,0.7397,511131.26908784
1513516500000,0.7397,0.7398,0.73,0.73887,212671.0804509
1513517400000,0.73572,0.73572,0.71545,0.72484,59936.7748643
1513518300000,0.72628,0.72628,0.71483,0.715,214062.10133966
1513519200000,0.715,0.72293,0.71485,0.71621,112821.72465588
1513520100000,0.71621,0.73471,0.71601,0.71613,69647.36295989
1513521000000,0.71613,0.71613,0.712,0.712,189825.25680491
1513521900000,0.71194,0.71614,0.71,0.71614,104544.20888854
1513522800000,0.71604,0.72795,0.71566,0.72509,41830.9654855
